@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute P1SummaryMatrix-1 numeric
@attribute P1SummaryMatrix-2 numeric
@attribute P1SummaryMatrix-3 numeric
@attribute P1SummaryMatrix-4 numeric
@attribute P1SummaryMatrix-5 numeric
@attribute P1SummaryMatrix-6 numeric
@attribute P1SummaryMatrix-7 numeric
@attribute P1SummaryMatrix-8 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
52,'2020/02/28 11:58:20:108',1,0.019395,0.009216,0.014306,0.028498,0.027101,0.0278,0.926918,0.407338,0,0,0,0,0
53,'2020/02/28 11:58:20:124',1,0.02125,0.009397,0.015323,0.028433,0.024994,0.026713,0.926918,0.406062,0,0,0,0,0
54,'2020/02/28 11:58:20:141',1,0.023484,0.01111,0.017297,0.023593,0.023271,0.023432,0.926918,0.404787,0,0,0,0,0
55,'2020/02/28 11:58:20:157',1,0.024824,0.011775,0.018299,0.020696,0.017113,0.018904,0.926918,0.40383,0,0,0,0,0
56,'2020/02/28 11:58:20:174',1,0.02661,0.011599,0.019105,0.0191,0.014343,0.016721,0.926918,0.403511,0,0,0,0,0
57,'2020/02/28 11:58:20:190',1,0.029338,0.01238,0.020859,0.014965,0.015236,0.0151,0.926918,0.402236,0,0,0,0,0
58,'2020/02/28 11:58:20:208',1,0.029397,0.014415,0.021906,0.015075,0.014386,0.014731,0.926918,0.399685,0,0,0,0,0
59,'2020/02/28 11:58:20:224',1,0.027035,0.015296,0.021165,0.018414,0.015833,0.017124,0.926918,0.398728,0,0,0,0,0
60,'2020/02/28 11:58:20:240',1,0.027968,0.014551,0.02126,0.019043,0.024713,0.021878,0.926918,0.396496,0,0,0,0,0
61,'2020/02/28 11:58:20:256',1,0.029582,0.016592,0.023087,0.02063,0.033097,0.026864,0.926918,0.395221,0,0,0,0,0
62,'2020/02/28 11:58:20:274',1,0.0324,0.019724,0.026062,0.01995,0.042882,0.031416,0.926918,0.395221,0,0,0,0,0
63,'2020/02/28 11:58:20:291',1,0.037755,0.026474,0.032114,0.014747,0.046303,0.030525,0.926918,0.392989,0,0,0,0,0
64,'2020/02/28 11:58:20:307',1,0.038907,0.037455,0.038181,0.011299,0.040798,0.026048,0.926918,0.388844,0,0,0,0,0
65,'2020/02/28 11:58:20:323',1,0.036306,0.04398,0.040143,0.01959,0.038254,0.028922,0.926918,0.387887,0,0,0,0,0
66,'2020/02/28 11:58:20:340',1,0.039807,0.046162,0.042984,0.02888,0.044002,0.036441,0.926918,0.38438,0,0,0,0,0
67,'2020/02/28 11:58:20:356',1,0.043314,0.052299,0.047807,0.04142,0.045739,0.04358,0.926918,0.383105,0,0,0,0,0
68,'2020/02/28 11:58:20:372',1,0.049406,0.058758,0.054082,0.044911,0.048487,0.046699,0.926918,0.383105,0,0,0,0,0
69,'2020/02/28 11:58:20:390',1,0.059836,0.066781,0.063308,0.039219,0.044283,0.041751,0.926918,0.379597,0,0,0,0,0
70,'2020/02/28 11:58:20:407',1,0.063657,0.076463,0.07006,0.038017,0.031035,0.034526,0.926918,0.374177,0,0,0,0,0
71,'2020/02/28 11:58:20:423',1,0.061566,0.078654,0.07011,0.048951,0.025191,0.037071,0.926918,0.372582,0,0,0,0,0
72,'2020/02/28 11:58:20:439',1,0.068028,0.075121,0.071574,0.054628,0.031837,0.043233,0.926918,0.367162,0,0,0,0,0
73,'2020/02/28 11:58:20:456',1,0.072692,0.077944,0.075318,0.070942,0.035903,0.053423,0.926918,0.368437,0,0,0,0,0
74,'2020/02/28 11:58:20:490',1,0.086581,0.081093,0.083837,0.065428,0.04787,0.056649,0.926918,0.364292,0,0,0,0,0
75,'2020/02/28 11:58:20:507',1,0.096634,0.085907,0.09127,0.065179,0.046075,0.055627,0.926918,0.359509,0,0,0,0,0
76,'2020/02/28 11:58:20:522',1,0.099451,0.08827,0.093861,0.073654,0.050285,0.06197,0.926918,0.358872,0,0,0,0,0
77,'2020/02/28 11:58:20:538',1,0.108955,0.084792,0.096873,0.072644,0.065467,0.069055,0.926918,0.355364,0,0,0,0,0
78,'2020/02/28 11:58:20:556',1,0.121243,0.085221,0.103232,0.078074,0.07418,0.076127,0.927527,0.354408,0,0,0,0,0
79,'2020/02/28 11:58:20:574',1,0.139534,0.091319,0.115426,0.075686,0.079889,0.077788,0.927527,0.354408,0,0,0,0,0
80,'2020/02/28 11:58:20:590',1,0.156592,0.10162,0.129106,0.050222,0.077683,0.063953,0.927527,0.350581,0,0,0,0,0
81,'2020/02/28 11:58:20:606',1,0.161062,0.110992,0.136027,0.040287,0.067288,0.053788,0.927527,0.346436,0,0,0,0,0
82,'2020/02/28 11:58:20:621',1,0.148874,0.112877,0.130875,0.045927,0.064597,0.055262,0.927527,0.346755,0,0,0,0,0
83,'2020/02/28 11:58:20:638',1,0.142692,0.104422,0.123557,0.047069,0.075073,0.061071,0.927527,0.344523,0,0,0,0,0
84,'2020/02/28 11:58:20:656',1,0.143046,0.100263,0.121655,0.052476,0.078693,0.065585,0.927527,0.344204,0,0,0,0,0
85,'2020/02/28 11:58:20:672',1,0.153002,0.10067,0.126836,0.053023,0.075639,0.064331,0.927527,0.344842,0,0,0,0,0
86,'2020/02/28 11:58:20:687',1,0.164068,0.108015,0.136041,0.041465,0.068486,0.054976,0.927527,0.342291,0,0,0,0,0
87,'2020/02/28 11:58:20:704',1,0.168028,0.117745,0.142886,0.038432,0.055286,0.046859,0.927527,0.340378,0,0,0,0,0
